Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
55319534 -0,393 1,560 1,056 -0,393 1,560 1,056 
55319593 -0,392 1,557 1,063 -0,392 1,557 1,063 
55319736 -0,388 1,550 1,078 -0,388 1,550 1,078 
55319791 -0,387 1,548 1,082 -0,387 1,548 1,082 
55319907 -0,385 1,545 1,087 -0,385 1,545 1,087 
55320023 -0,383 1,542 1,092 -0,383 1,542 1,092 
55320095 -0,381 1,540 1,095 -0,381 1,540 1,095 
55320182 -0,380 1,539 1,095 -0,380 1,539 1,095 
55320334 -0,379 1,538 1,096 -0,379 1,538 1,096 
55320388 -0,378 1,537 1,096 -0,378 1,537 1,096 
55320522 -0,375 1,534 1,096 -0,375 1,534 1,096 
55320628 -0,375 1,533 1,095 -0,375 1,533 1,095 
55320756 -0,377 1,535 1,094 -0,377 1,535 1,094 
55320814 -0,378 1,536 1,093 -0,378 1,536 1,093 
55320922 -0,382 1,538 1,091 -0,382 1,538 1,091 
55321029 -0,389 1,542 1,089 -0,389 1,542 1,089 
55321146 -0,393 1,543 1,087 -0,393 1,543 1,087 
55321231 -0,400 1,545 1,085 -0,400 1,545 1,085 
55321322 -0,403 1,545 1,085 -0,403 1,545 1,085 
55321427 -0,416 1,546 1,082 -0,416 1,546 1,082 
55321492 -0,419 1,547 1,082 -0,419 1,547 1,082 
55321597 -0,430 1,546 1,081 -0,430 1,546 1,081 
55321715 -0,444 1,544 1,079 -0,444 1,544 1,079 
55321840 -0,452 1,543 1,079 -0,452 1,543 1,079 
55321899 -0,459 1,542 1,078 -0,459 1,542 1,078 
55322041 -0,473 1,541 1,078 -0,473 1,541 1,078 
55322097 -0,480 1,540 1,079 -0,480 1,540 1,079 
55322228 -0,493 1,540 1,079 -0,493 1,540 1,079 
55322325 -0,500 1,540 1,080 -0,500 1,540 1,080 
55322408 -0,506 1,540 1,081 -0,506 1,540 1,081 
55322520 -0,515 1,541 1,083 -0,515 1,541 1,083 
55322646 -0,524 1,540 1,085 -0,524 1,540 1,085 
55322698 -0,535 1,540 1,089 -0,535 1,540 1,089 
55322799 -0,542 1,540 1,091 -0,542 1,540 1,091 
55322898 -0,547 1,539 1,094 -0,547 1,539 1,094 
55323006 -0,554 1,539 1,098 -0,554 1,539 1,098 
55323106 -0,565 1,540 1,104 -0,565 1,540 1,104 
55323221 -0,573 1,540 1,109 -0,573 1,540 1,109 
55323309 -0,576 1,540 1,110 -0,576 1,540 1,110 
55323398 -0,579 1,541 1,112 -0,579 1,541 1,112 
55323524 -0,593 1,543 1,121 -0,593 1,543 1,121 
55323642 -0,605 1,544 1,127 -0,605 1,544 1,127 
55323705 -0,614 1,546 1,132 -0,614 1,546 1,132 
55323802 -0,623 1,548 1,137 -0,623 1,548 1,137 
55323896 -0,630 1,550 1,140 -0,630 1,550 1,140 
55324012 -0,648 1,553 1,147 -0,648 1,553 1,147 
55324130 -0,664 1,555 1,151 -0,664 1,555 1,151 
55324205 -0,669 1,556 1,152 -0,669 1,556 1,152 
55324293 -0,673 1,556 1,153 -0,673 1,556 1,153 
55324405 -0,693 1,555 1,156 -0,693 1,555 1,156 
55324543 -0,709 1,552 1,156 -0,709 1,552 1,156 
55324660 -0,715 1,550 1,156 -0,715 1,550 1,156 
55324718 -0,725 1,547 1,156 -0,725 1,547 1,156 
55324846 -0,739 1,543 1,155 -0,739 1,543 1,155 
55324909 -0,748 1,542 1,153 -0,748 1,542 1,153 
55325056 -0,759 1,541 1,150 -0,759 1,541 1,150 
55325131 -0,764 1,540 1,148 -0,764 1,540 1,148 
55325226 -0,770 1,540 1,145 -0,770 1,540 1,145 
55325343 -0,775 1,540 1,141 -0,775 1,540 1,141 
55325479 -0,779 1,541 1,138 -0,779 1,541 1,138 
55325547 -0,784 1,541 1,136 -0,784 1,541 1,136 
55325647 -0,789 1,541 1,133 -0,789 1,541 1,133 
55325708 -0,794 1,541 1,130 -0,794 1,541 1,130 
55325841 -0,794 1,541 1,130 -0,803 1,539 1,126 
55325946 -0,794 1,541 1,130 -0,807 1,537 1,123 
55326007 -0,794 1,541 1,130 -0,811 1,536 1,122 
55326155 -0,794 1,541 1,130 -0,821 1,533 1,118 
55326210 -0,794 1,541 1,130 -0,828 1,531 1,116 
55326309 -0,794 1,541 1,130 -0,833 1,529 1,115 
55326439 -0,794 1,541 1,130 -0,843 1,525 1,113 
55326557 -0,794 1,541 1,130 -0,852 1,520 1,111 
