Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
57359651 -0,649 1,650 1,174 -0,649 1,650 1,174 
57359775 -0,662 1,639 1,181 -0,662 1,639 1,181 
57359859 -0,665 1,634 1,181 -0,665 1,634 1,181 
57359939 -0,666 1,631 1,180 -0,666 1,631 1,180 
57360039 -0,665 1,623 1,174 -0,665 1,623 1,174 
57360150 -0,659 1,618 1,163 -0,659 1,618 1,163 
57360288 -0,643 1,614 1,139 -0,643 1,614 1,139 
57360372 -0,637 1,614 1,128 -0,637 1,614 1,128 
57360500 -0,632 1,616 1,116 -0,632 1,616 1,116 
57360558 -0,630 1,618 1,111 -0,630 1,618 1,111 
57360675 -0,629 1,633 1,091 -0,629 1,633 1,091 
57360721 -0,631 1,638 1,085 -0,631 1,638 1,085 
57360848 -0,637 1,645 1,079 -0,637 1,645 1,079 
57360901 -0,644 1,650 1,075 -0,644 1,650 1,075 
57361049 -0,665 1,658 1,069 -0,665 1,658 1,069 
57361191 -0,697 1,662 1,068 -0,697 1,662 1,068 
57361244 -0,710 1,663 1,070 -0,710 1,663 1,070 
57361411 -0,734 1,663 1,073 -0,734 1,663 1,073 
57361507 -0,760 1,662 1,078 -0,760 1,662 1,078 
57361554 -0,771 1,662 1,080 -0,771 1,662 1,080 
57361674 -0,790 1,660 1,085 -0,790 1,660 1,085 
57361788 -0,807 1,658 1,090 -0,807 1,658 1,090 
57361858 -0,819 1,657 1,093 -0,819 1,657 1,093 
57361937 -0,823 1,656 1,094 -0,823 1,656 1,094 
57362063 -0,849 1,653 1,100 -0,849 1,653 1,100 
57362186 -0,859 1,653 1,102 -0,859 1,653 1,102 
57362271 -0,867 1,652 1,103 -0,867 1,652 1,103 
57362356 -0,867 1,652 1,103 -0,867 1,652 1,103 
57362424 -0,875 1,652 1,104 -0,875 1,652 1,104 
57362609 -0,880 1,652 1,104 -0,880 1,652 1,104 
57362669 -0,883 1,652 1,104 -0,883 1,652 1,104 
57362753 -0,888 1,652 1,105 -0,888 1,652 1,105 
57362874 -0,892 1,652 1,104 -0,892 1,652 1,104 
57362969 -0,892 1,652 1,104 -0,892 1,652 1,104 
57363068 -0,899 1,651 1,104 -0,899 1,651 1,104 
57363170 -0,903 1,651 1,104 -0,903 1,651 1,104 
57363282 -0,903 1,651 1,104 -0,903 1,651 1,104 
57363365 -0,903 1,651 1,104 -0,903 1,651 1,104 
57363460 -0,903 1,651 1,104 -0,903 1,651 1,104 
57363564 -0,910 1,650 1,103 -0,910 1,650 1,103 
57363673 -0,910 1,650 1,103 -0,910 1,650 1,103 
57363737 -0,918 1,649 1,102 -0,918 1,649 1,102 
57363860 -0,918 1,649 1,102 -0,918 1,649 1,102 
57363975 -0,924 1,649 1,101 -0,924 1,649 1,101 
57364064 -0,924 1,649 1,101 -0,924 1,649 1,101 
57364163 -0,939 1,647 1,097 -0,939 1,647 1,097 
57364292 -0,939 1,647 1,097 -0,939 1,647 1,097 
57364369 -0,939 1,647 1,097 -0,939 1,647 1,097 
