Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
57855013 1,601 1,542 -0,184 2,182 1,623 -0,370 
57855119 1,601 1,547 -0,184 2,271 1,614 -0,405 
57855193 1,601 1,551 -0,184 2,308 1,606 -0,420 
57855319 1,601 1,558 -0,184 2,357 1,581 -0,448 
57855421 1,601 1,564 -0,184 2,374 1,559 -0,462 
57855515 1,601 1,568 -0,183 2,380 1,537 -0,472 
57855623 1,601 1,575 -0,183 2,377 1,501 -0,485 
57855710 1,601 1,580 -0,183 2,361 1,468 -0,492 
57855807 1,601 1,585 -0,183 2,329 1,428 -0,497 
57855891 1,601 1,590 -0,183 2,311 1,409 -0,499 
57856021 1,601 1,597 -0,183 2,235 1,351 -0,497 
57856105 1,598 1,602 -0,183 2,205 1,331 -0,495 
57856205 1,594 1,607 -0,183 2,144 1,295 -0,487 
57856307 1,589 1,613 -0,183 2,090 1,266 -0,478 
57856364 1,586 1,617 -0,184 2,049 1,249 -0,469 
57856495 1,580 1,624 -0,184 1,988 1,227 -0,451 
57856601 1,580 1,631 -0,184 1,947 1,215 -0,434 
57856678 1,580 1,635 -0,184 1,926 1,211 -0,425 
57856807 1,580 1,642 -0,183 1,891 1,209 -0,406 
57856874 1,580 1,646 -0,183 1,874 1,212 -0,395 
57857014 1,579 1,654 -0,183 1,844 1,227 -0,371 
57857112 1,574 1,659 -0,184 1,829 1,242 -0,356 
57857206 1,568 1,664 -0,184 1,815 1,265 -0,339 
57857298 1,561 1,669 -0,184 1,803 1,296 -0,323 
57857440 1,554 1,669 -0,184 1,798 1,322 -0,315 
57857506 1,547 1,669 -0,184 1,795 1,350 -0,308 
57857604 1,540 1,669 -0,185 1,794 1,383 -0,305 
57857715 1,532 1,669 -0,185 1,794 1,419 -0,303 
57857820 1,524 1,669 -0,185 1,794 1,458 -0,304 
57857875 1,519 1,669 -0,185 1,794 1,484 -0,306 
57858023 1,509 1,669 -0,186 1,793 1,559 -0,317 
57858121 1,501 1,669 -0,186 1,790 1,610 -0,326 
57858193 1,495 1,669 -0,186 1,787 1,637 -0,332 
57858318 1,486 1,669 -0,186 1,778 1,691 -0,343 
57858364 1,481 1,669 -0,187 1,772 1,718 -0,350 
57858544 1,470 1,669 -0,187 1,760 1,753 -0,359 
